ï»¿ID,Start time,Completion time,Location,Ward/Branch,Stake,Route,Time Spent Collecting Donations,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Completed More Than One Route,Routes Completed,Additional Routes completed (2 routes),Additional routes completed (3 routes),Additional routes completed (3 routes)2,Additional routes completed (More than 3 Routes),Additional routes completed (More than 3 Routes)2,Additional routes completed (More than 3 Routes)3,Neighbourhood,Ward,Assessed Value,Minutes Spent Collecting Donations,Assessed Value,Latitude,Longitude,New Route Number/Name
55,2024-09-28 10:01,2024-09-28 11:06,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,169,0 - 30 Minutes,1,2,30,22,0,1,,,,,,,CLAREVIEW,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 11
56,2024-09-28 11:06,2024-09-28 11:06,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,9,30 - 60 Minutes,2,1,148,28,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 12
57,2024-09-28 11:01,2024-09-28 11:06,Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,3-3-1a,0 - 30 Minutes,1,0,0,12,0,1,,,,,,,NAMAO,,6666500,30,6666500,53.61346820073055,-113.5157507,Edmonton North Stake 2
58,2024-09-28 11:04,2024-09-28 11:07,Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,3,30 - 60 Minutes,1,2,169,11,0,1,,,,,,,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500,60,1154500,53.42045712828527,-113.5399461,Riverbend Stake 8
59,2024-09-28 10:57,2024-09-28 11:07,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,46,0 - 30 Minutes,1,3,7,10,0,1,,,,,,,LONDONDERRY,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 12
60,2024-09-28 11:07,2024-09-28 11:09,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,49th street,2+ Hours,2,0,40,15,0,1,,,,,,,LONDONDERRY,,837500,120,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 13
61,2024-09-28 10:57,2024-09-28 11:10,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0 - 30 Minutes,1,0,60,17,0,1,,,,,,,LONDONDERRY,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 14
62,2024-09-28 11:04,2024-09-28 11:10,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,Laurel Park,30 - 60 Minutes,4,0,116,50,1,2,2 Laurel Park,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,60,140000,53.44341912235957,-113.4026104,Gateway Stake 13
63,2024-09-28 11:06,2024-09-28 11:10,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,169,0 - 30 Minutes,2,2,99,24,0,1,,,,,,,CLAREVIEW,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 15
64,2024-09-28 11:00,2024-09-28 11:10,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,9,30 - 60 Minutes,2,2,161,56,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 14
65,2024-09-28 11:07,2024-09-28 11:10,Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,Terrace Heights #3 (Poll 66),0 - 30 Minutes,2,2,75,8,0,1,,,,,,,CONNORS HILL,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 16
66,2024-09-28 11:09,2024-09-28 11:11,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,25,30 - 60 Minutes,2,0,13,14,0,1,,,,,,,LONDONDERRY,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 17
67,2024-09-28 11:07,2024-09-28 11:11,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,7,0 - 30 Minutes,2,0,170,30,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,30,28618500,53.47232073,-113.4502878,Gateway Stake 15
68,2024-09-28 11:10,2024-09-28 11:12,Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,Ritchie 2,0 - 30 Minutes,2,0,194,21,0,1,,,,,,,CONNORS HILL,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 18
69,2024-09-28 11:10,2024-09-28 11:12,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,16,30 - 60 Minutes,2,3,15,18,0,1,,,,,,,LONDONDERRY,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 19
70,2024-09-28 11:09,2024-09-28 11:12,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,33,30 - 60 Minutes,4,3,109,21,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 16
71,2024-09-28 11:10,2024-09-28 11:13,Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,8,30 - 60 Minutes,1,0,12,11,0,1,,,,,,,SILVER BERRY,Sspomitapi Ward,162000,60,162000,53.45921603129749,-113.3818037,Gateway Stake 17
72,2024-09-28 11:06,2024-09-28 11:13,Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,25,30 - 60 Minutes,2,1,280,40,0,1,,,,,,,RABBIT HILL,,703525,60,703525,53.44964276918846,-113.5384964,Riverbend Stake 9
73,2024-09-28 11:11,2024-09-28 11:13,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,42,0 - 30 Minutes,1,3,150,12,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 20
74,2024-09-28 11:04,2024-09-28 11:13,Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,5 2.2,30 - 60 Minutes,2,0,217,13,0,1,,,,,,,NAMAO,,6666500,60,6666500,53.61346820073055,-113.5157507,Edmonton North Stake 3
75,2024-09-28 11:11,2024-09-28 11:13,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,182,0 - 30 Minutes,1,0,10,12,0,1,,,,,,,CLAREVIEW,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 21
76,2024-09-28 11:07,2024-09-28 11:14,Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,54,1 Hour - 1.5 Hours,2,2,191,30,0,1,,,,,,,RABBIT HILL,,703525,90,703525,53.44964276918846,-113.5384964,Riverbend Stake 10
77,2024-09-28 11:12,2024-09-28 11:14,Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,Goldbar 5,0 - 30 Minutes,1,4,115,4,0,1,,,,,,,CONNORS HILL,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 22
78,2024-09-28 11:02,2024-09-28 11:14,Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,11,0 - 30 Minutes,2,3,180,19,1,2,4,,,,,,ELLERSLIE,Karhiio Ward,797500,30,797500,53.43159314034627,-113.44636,Gateway Stake 18
79,2024-09-28 11:13,2024-09-28 11:14,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,8,1 Hour - 1.5 Hours,1,1,156,50,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,90,503500,53.42374423,-113.5051636,Gateway Stake 19
80,2024-09-28 11:12,2024-09-28 11:14,Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,4-3.2,1 Hour - 1.5 Hours,1,1,200,35,0,1,,,,,,,NAMAO,,6666500,90,6666500,53.61346820073055,-113.5157507,Edmonton North Stake 4
81,2024-09-28 11:11,2024-09-28 11:15,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,13,30 - 60 Minutes,2,0,20,35,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 20
82,2024-09-28 11:03,2024-09-28 11:16,Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,30,30 - 60 Minutes,2,1,165,18,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 21
83,2024-09-28 10:54,2024-09-28 11:16,Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,5,0 - 30 Minutes,1,0,1,10,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,30,28618500,53.47232073,-113.4502878,Gateway Stake 22
84,2024-09-28 11:14,2024-09-28 11:16,Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,4-1.1 ,1 Hour - 1.5 Hours,2,0,170,32,0,1,,,,,,,NAMAO,,6666500,90,6666500,53.61346820073055,-113.5157507,Edmonton North Stake 5
85,2024-09-28 11:15,2024-09-28 11:17,Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,Calder C,30 - 60 Minutes,1,2,60,20,0,1,,,,,,,GRIESBACH,Anirniq Ward,6666500,60,6666500,53.61346820073056,-113.5157507,Edmonton North Stake 6
86,2024-09-28 11:14,2024-09-28 11:17,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,63,30 - 60 Minutes,1,2,140,12,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 23
87,2024-09-28 11:15,2024-09-28 11:17,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,36,30 - 60 Minutes,2,3,134,55,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 24
88,2024-09-28 11:14,2024-09-28 11:17,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,73,0 - 30 Minutes,1,4,128,7,0,1,,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,30,140000,53.44341912235957,-113.4026104,Gateway Stake 25
89,2024-09-28 11:13,2024-09-28 11:18,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,8,30 - 60 Minutes,1,1,156,50,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 26
90,2024-09-28 11:14,2024-09-28 11:18,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,21,0 - 30 Minutes,2,2,100,12,0,1,,,,,,,WOODBEND,,703525,30,703525,53.44964276918846,-113.5384964,Riverbend Stake 11
91,2024-09-28 11:16,2024-09-28 11:19,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,134,0 - 30 Minutes,2,0,125,20,0,1,,,,,,,CLAREVIEW,,837500,30,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 23
92,2024-09-28 11:17,2024-09-28 11:19,Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,1 Hour - 1.5 Hours,3,0,195,40,0,1,,,,,,,CONNORS HILL,,837500,90,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 24
93,2024-09-28 11:13,2024-09-28 11:20,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,3,30 - 60 Minutes,0,2,177,19,0,1,,,,,,,LONDONDERRY,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 25
94,2024-09-28 11:17,2024-09-28 11:20,Edmonton North Stake Centre,Forest Heights Ward,Bonnie Doon Stake,Ottwell #3 (poll 48),1 Hour - 1.5 Hours,1,1,200,30,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,90,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 26
95,2024-09-28 11:12,2024-09-28 11:20,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,22,1 Hour - 1.5 Hours,1,1,0,51,0,1,,,,,,,LONDONDERRY,,837500,90,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 27
96,2024-09-28 11:17,2024-09-28 11:21,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,6,0 - 30 Minutes,1,0,4,1,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,30,503500,53.42374423,-113.5051636,Gateway Stake 27
97,2024-09-28 10:33,2024-09-28 11:21,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,74,30 - 60 Minutes,2,0,140,21,0,1,,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,60,140000,53.44341912235957,-113.4026104,Gateway Stake 28
98,2024-09-28 11:15,2024-09-28 11:21,Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,Royal Gardens # / Gavin Speidwl,30 - 60 Minutes,2,2,100,40,0,1,,,,,,,GREENFIELD,papastew Ward,295500,60,295500,53.476048825243744,-113.5371848,Riverbend Stake 12
99,2024-09-28 11:18,2024-09-28 11:21,Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,"113A, 133 street 131 ave",0 - 30 Minutes,2,0,80,6,0,1,,,,,,,GRIESBACH,Anirniq Ward,6666500,30,6666500,53.61346820073056,-113.5157507,Edmonton North Stake 7
100,2024-09-28 11:16,2024-09-28 11:22,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,52 and 52,30 - 60 Minutes,1,1,250,25,1,2,0,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,60,140000,53.44341912235957,-113.4026104,Gateway Stake 29
101,2024-09-28 11:17,2024-09-28 11:22,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,41,0 - 30 Minutes,3,0,100,20,0,1,,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,30,140000,53.44341912235957,-113.4026104,Gateway Stake 30
102,2024-09-28 11:18,2024-09-28 11:23,Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,5,2+ Hours,5,10,1000,56,1,1,,,,"5,2",5,"5,4",NAMAO,,6666500,120,6666500,53.61346820073055,-113.5157507,Edmonton North Stake 8
103,2024-09-28 11:21,2024-09-28 11:23,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,Poll 47 ,0 - 30 Minutes,2,2,150,18,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,30,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 28
104,2024-09-28 11:19,2024-09-28 11:23,Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,AG1,30 - 60 Minutes,2,2,140,50,0,1,,,,,,,GREENFIELD,papastew Ward,295500,60,295500,53.476048825243744,-113.5371848,Riverbend Stake 13
105,2024-09-28 11:23,2024-09-28 11:24,Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,5,0 - 30 Minutes,1,2,125,28,0,1,,,,,,,WOODBEND,,703525,30,703525,53.44964276918846,-113.5384964,Riverbend Stake 14
106,2024-09-28 11:23,2024-09-28 11:25,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,56,30 - 60 Minutes,2,3,130,35,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 31
107,2024-09-28 11:21,2024-09-28 11:25,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,86/laurel,1 Hour - 1.5 Hours,2,0,130,16,0,1,,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,90,140000,53.44341912235957,-113.4026104,Gateway Stake 32
108,2024-09-28 11:19,2024-09-28 11:25,Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,66,0 - 30 Minutes,1,0,1,2,0,1,,,,,,,CRAWFORD PLAINS,Sspomitapi Ward,140000,30,140000,53.44341912235957,-113.4026104,Gateway Stake 33
109,2024-09-28 11:22,2024-09-28 11:26,Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,Forest height #4 (poll 68),1 Hour - 1.5 Hours,2,2,200,23,0,1,,,,,,,FOREST HEIGHTS,MÃ©tis Ward,837500,90,837500,53.55056740256592,-113.4548124,Bonnie Doon Stake 29
110,2024-09-28 11:14,2024-09-28 11:26,Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,58,30 - 60 Minutes,2,0,40,26,1,2,59,,,,,,LONDONDERRY,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 30
111,2024-09-28 11:24,2024-09-28 11:26,Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,Hudson c,30 - 60 Minutes,2,0,166,20,0,1,,,,,,,GRIESBACH,Anirniq Ward,6666500,60,6666500,53.61346820073056,-113.5157507,Edmonton North Stake 9
112,2024-09-28 11:22,2024-09-28 11:26,Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,23,30 - 60 Minutes,2,2,210,20,0,1,,,,,,,ELLERSLIE,Karhiio Ward,797500,60,797500,53.43159314034627,-113.44636,Gateway Stake 34
113,2024-09-28 11:21,2024-09-28 11:26,Bearspaw Chapel,Rutherford Ward,Riverbend Stake,19,30 - 60 Minutes,2,2,205,21,0,1,,,,,,,RUTHERFORD,Ipiihkoohkanipiaohtsi Ward,1154500,60,1154500,53.42045712828527,-113.5399461,Riverbend Stake 15
114,2024-09-28 11:20,2024-09-28 11:27,Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,197/210,2+ Hours,2,0,0,9,0,1,,,,,,,CLAREVIEW,,837500,120,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 31
115,2024-09-28 11:25,2024-09-28 11:27,Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,36,30 - 60 Minutes,4,2,173,17,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 35
116,2024-09-28 11:25,2024-09-28 11:27,Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,6,30 - 60 Minutes,2,0,150,40,0,1,,,,,,,SOUTHGATE,,837500,60,837500,53.55056740256591,-113.4548124,Bonnie Doon Stake 32
117,2024-09-28 11:20,2024-09-28 11:27,Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,18,30 - 60 Minutes,2,2,155,22,0,1,,,,,,,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,503500,60,503500,53.42374423,-113.5051636,Gateway Stake 36
118,2024-09-28 11:26,2024-09-28 11:28,Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,24,30 - 60 Minutes,2,2,200,35,0,1,,,,,,,ELLERSLIE,Karhiio Ward,797500,60,797500,53.43159314034627,-113.44636,Gateway Stake 37
119,2024-09-28 11:26,2024-09-28 11:28,Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,46,30 - 60 Minutes,2,0,154,28,0,1,,,,,,,LEE RIDGE,Karhiio Ward,28618500,60,28618500,53.47232073,-113.4502878,Gateway Stake 38
